session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Employment Status,Nationality,Country of Birth,Current Country of Residence,Sex,Student Status,First Language
5dce13c154db950c57b4248c,5bd869bf92162c00019c1a54,APPROVED,2019-11-15 02:56:04.293000,2019-11-15 03:00:22.951000,258.658,20,341,1,100,2019-11-18 04:11:17.570000,4D8547F3,Conservative,Unemployed (and job seeking),United States,United States,United States,Male,No,English
5dce13e92bcaac0bde74117d,5d011f60749ffa0001ef3a09,APPROVED,2019-11-15 02:56:43.300000,2019-11-15 03:01:21.531000,278.231,22,95,2,98,2019-11-18 04:11:18.406000,4D8547F3,Conservative,Part-Time,United States,United States,United States,Female,No,English
5dce1428e8312b0bbab84a8b,5c8d6017c6e10f0001b1417d,APPROVED,2019-11-15 02:57:46.102000,2019-11-15 03:05:45.235000,479.133,18,316,2,100,2019-11-18 04:11:19.476000,4D8547F3,Conservative,Other,United States,United States,United States,Male,Yes,English
5dce14313b0d9a0c15a7b97a,5bb9ed46ecdd5e0001603021,APPROVED,2019-11-15 02:57:56.044000,2019-11-15 03:01:39.857000,223.813,39,175,2,99,2019-11-18 04:11:20.463000,4D8547F3,Conservative,Other,United States,United States,United States,Female,No,English
5dce14513706eb0b8dfe0401,5dc1eb838a84461511b3cd73,APPROVED,2019-11-15 02:58:25.377000,2019-11-15 03:04:03.235000,337.858,28,23,0,100,2019-11-18 04:11:21.430000,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,United States,United States,Female,No,English
5dce14544ad9570c35e559c9,5ce1c42ca80ce0001a4aeb82,APPROVED,2019-11-15 02:58:30.714000,2019-11-15 03:08:02.129000,571.415,53,150,1,100,2019-11-18 04:11:22.327000,4D8547F3,Conservative,Full-Time,United States,United States,United States,Male,No,English
5dce14603b47bc0be03e77e4,5c1942e200849900010afdcd,APPROVED,2019-11-15 02:58:41.569000,2019-11-15 03:01:12.258000,150.689,21,245,1,100,2019-11-18 04:11:23.212000,4D8547F3,Conservative,Full-Time,United States,United States,United States,Male,Yes,English
5dce1481eb9d8c0c21cda00c,5cba50bf114fa5001aac5570,APPROVED,2019-11-15 02:59:18.280000,2019-11-15 03:04:08.515000,290.235,67,264,0,100,2019-11-18 04:11:24.318000,4D8547F3,Conservative,Part-Time,United States,United States,United States,Male,No,English
5dce1483ed79260c40504277,5bddd72b18f1b9000174109e,APPROVED,2019-11-15 02:59:17.035000,2019-11-15 03:02:27.936000,190.901,45,507,2,100,2019-11-18 04:11:25.194000,4D8547F3,Conservative,Part-Time,United States,United States,United States,Female,No,English
5dce14844cb0c10c67a5777d,5c50c73cecd461000198fea1,APPROVED,2019-11-15 02:59:16.425000,2019-11-15 03:03:32.580000,256.155,27,416,1,100,2019-11-18 04:11:26.073000,4D8547F3,Conservative,Full-Time,United States,United States,United States,Male,No,English
5dce1493aed55f0b8b24f694,5c3164e528d82100018160c8,APPROVED,2019-11-15 02:59:34.897000,2019-11-15 03:06:15.016000,400.119,40,309,0,100,2019-11-18 04:11:27.058000,4D8547F3,Conservative,Full-Time,United States,United States,United States,Male,No,English
5dce14af3dcc3a0bb881d5f2,5b8e01754457e80001f2ea75,APPROVED,2019-11-15 02:59:59.210000,2019-11-15 03:04:52.801000,293.591,26,49,0,100,2019-11-18 04:11:27.872000,4D8547F3,Conservative,Full-Time,United States,United States,United States,Male,Yes,Spanish
