session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Employment Status,First Language,Country of Birth,Sex,Political Spectrum (US),Current Country of Residence,Student Status
5dd4d94c523df04a5dbcbca8,5d21a5e877af8600010583c9,AWAITING REVIEW,2019-11-20 06:12:32.379000,2019-11-20 06:14:38.551000,126.172,38,43,5,84,,4D8547F3,United States,,English,United States,Male,Conservative,United States,No
5dd4d98ca4aa264af6e70d90,5cdb3e9caa4e2a00019a16bc,AWAITING REVIEW,2019-11-20 06:13:46.878000,2019-11-20 06:16:23.565000,156.687,47,193,0,100,,4D8547F3,United States,Other,English,United States,Male,Conservative,United States,No
5dd4d990194e48497c10d191,5bcd9a528391630001494521,AWAITING REVIEW,2019-11-20 06:13:36.282000,2019-11-20 06:16:21.950000,165.668,38,365,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,Japan,No
5dd4d9b6367c6d4a3f3f9d7e,5d094021c79e5a001a796b43,AWAITING REVIEW,2019-11-20 06:14:14.702000,2019-11-20 06:19:26.810000,312.108,34,231,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4d9c18a3c5e4a9f18f9c3,5d89b537f7d109001a8f9c68,AWAITING REVIEW,2019-11-20 06:14:28.113000,2019-11-20 06:24:24.890000,596.777,46,59,0,100,,4D8547F3,United Kingdom,Part-Time,English,United Kingdom,Female,Conservative,United Kingdom,No
5dd4d9c811b0bd4ab99e9f62,55b9a9b0fdf99b6906d2aba4,AWAITING REVIEW,2019-11-20 06:14:35.250000,2019-11-20 06:22:23.980000,468.73,64,1595,1,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,Conservative,United States,No
5dd4d9ebe0b21b4ae9468a0b,56ce6383465e58000d84710d,AWAITING REVIEW,2019-11-20 06:15:07.277000,2019-11-20 06:18:36.672000,209.395,29,99,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4d9ed523df04a5dbcbca9,5c5f95cf4fff5700017ecc6b,AWAITING REVIEW,2019-11-20 06:15:37.365000,2019-11-20 06:19:20.892000,223.527,23,85,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Female,Conservative,United States,No
5dd4da00a9ead04a85afcd0d,5c5ac2869d974300015d81fc,AWAITING REVIEW,2019-11-20 06:15:28.023000,2019-11-20 06:24:17.707000,529.684,33,403,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4da1fca74664af2518383,5d4d038ec270cd001931da3e,AWAITING REVIEW,2019-11-20 06:16:02.932000,2019-11-20 06:18:18.733000,135.801,29,141,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4da3a41afe84a26811718,57dd1a741334540001170404,AWAITING REVIEW,2019-11-20 06:16:28.452000,2019-11-20 06:18:34.932000,126.48,42,452,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4da6a19eecb4abefff826,59af1b568d02850001a6bbac,AWAITING REVIEW,2019-11-20 06:17:18.881000,2019-11-20 06:18:09.152000,50.271,44,128,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4da96e08a364a80ee8211,574eab79c18847000e071119,AWAITING REVIEW,2019-11-20 06:18:02.502000,2019-11-20 06:36:52.502000,1130.0,38,674,0,100,,4D8547F3,United States,Part-Time,English,United States,Female,Conservative,United States,No
5dd4daa39740544a71844bd5,5c19a630257db80001a2b3a8,AWAITING REVIEW,2019-11-20 06:18:13.929000,2019-11-20 06:32:56.941000,883.012,64,452,2,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4dab5794e104a949a5f0f,5c36e0c5e38bc40001f82a4d,AWAITING REVIEW,2019-11-20 06:18:38.563000,2019-11-20 06:23:24.748000,286.185,37,438,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4dabf57534749f4ebca59,570b8aa8b9b52b00102d97f2,AWAITING REVIEW,2019-11-20 06:19:09.648000,2019-11-20 06:24:55.257000,345.609,66,868,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4dacd2091e94ae11421c6,5d84398b58ceda0019482646,AWAITING REVIEW,2019-11-20 06:18:53.878000,2019-11-20 06:21:16.219000,142.341,36,111,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4daec1042004ad173909c,5d4686c336bf400015d3fd14,AWAITING REVIEW,2019-11-20 06:19:32.071000,2019-11-20 06:24:24.468000,292.397,29,173,1,100,,4D8547F3,United States,Part-Time,English,United States,Female,Conservative,United States,No
5dd4db08c925a84a514be842,5befb6e27c387400016983bf,AWAITING REVIEW,2019-11-20 06:19:52.575000,2019-11-20 06:24:15.322000,262.747,33,310,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4db314d58a04b8707e0d3,5b8b14d65548a50001e5f7f3,AWAITING REVIEW,2019-11-20 06:23:52.462000,2019-11-20 06:27:48.741000,236.279,35,388,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4db649dac7c4a9f70ddfb,5cecb84b41b4310018eb2644,AWAITING REVIEW,2019-11-20 06:21:33.358000,2019-11-20 06:33:36.485000,723.127,19,192,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,No
5dd4db68523df04a5dbcbcae,5d8c3c1e118a2300150b87e9,AWAITING REVIEW,2019-11-20 06:21:30.695000,2019-11-20 06:25:31.536000,240.841,18,42,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,Yes
5dd4db6b7982974a7980a15b,5aedec6e76b763000132f75e,AWAITING REVIEW,2019-11-20 06:21:36.521000,2019-11-20 06:23:48.037000,131.516,36,701,3,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4db77f01cbe49c312c31c,5c800507a1d4b900114f28c4,AWAITING REVIEW,2019-11-20 06:21:43.326000,2019-11-20 06:24:17.612000,154.286,28,402,2,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,No
5dd4db84ad0a614a377758ea,5dc36aef70d51c272b81f072,AWAITING REVIEW,2019-11-20 06:22:03.018000,2019-11-20 06:25:05.819000,182.801,31,12,1,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4db8b070fdc4a7deefa73,5d5defd586ed58000184fe02,AWAITING REVIEW,2019-11-20 06:22:05.362000,2019-11-20 06:24:32.183000,146.821,24,4,0,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,No
5dd4dba5a9ead04b2f1cbc6c,58c376f9efb64f0001358464,AWAITING REVIEW,2019-11-20 06:22:32.532000,2019-11-20 06:27:13.821000,281.289,46,612,10,97,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,Yes
5dd4dba9f01cbe4967dc2632,5d563cb2e1e744001613275b,AWAITING REVIEW,2019-11-20 06:22:35.968000,2019-11-20 06:27:16.811000,280.843,26,77,2,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,Yes
