session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Student Status,Sex,Country of Birth,Nationality,First Language,Political Spectrum (US),Employment Status,Current Country of Residence
5dd4d7f4f78cf24a2bb84ded,5dc1c96a575da1124f1ff140,RETURNED,2019-11-20 06:06:58.792000,,605074.611531,42,2,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5dd4d985535a7149f89b37e2,5d4c5f770051fe0001fbf22e,AWAITING REVIEW,2019-11-20 06:13:25.496000,2019-11-20 06:14:40.886000,75.39,37,130,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Other,United States
5dd4d99296afdf4a06bd8174,5d33ff76f665c6001ab9aa1e,AWAITING REVIEW,2019-11-20 06:13:44.446000,2019-11-20 06:39:59.020000,1574.574,25,73,3,95,,4D8547F3,Yes,Female,Greece,United States,Greek,Liberal,Part-Time,Greece
5dd4d9c5fbb5735a935a3152,5ba85e7eb3b5400001ce044e,AWAITING REVIEW,2019-11-20 06:14:29.513000,2019-11-20 06:18:51.697000,262.184,,274,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4d9d9523df04a099e12a0,5bf150273941490001fd47fa,AWAITING REVIEW,2019-11-20 06:14:49.808000,2019-11-20 06:21:38.163000,408.355,45,306,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4d9e8c944d14a6574448f,5d3fc9d442a4bc00015c456c,AWAITING REVIEW,2019-11-20 06:15:08.507000,2019-11-20 06:21:16.421000,367.914,23,119,0,100,,4D8547F3,Yes,Male,Mexico,United States,Spanish,Liberal,Part-Time,United States
5dd4d9e8e05cad4a97979abf,5dac11ae4f3f0100165adcbf,AWAITING REVIEW,2019-11-20 06:15:11.085000,2019-11-20 06:16:37.184000,86.099,21,37,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,DATA EXPIRED,United States
5dd4d9f0b2204f49ea77f397,5d404a42e46f4b0001f32854,AWAITING REVIEW,2019-11-20 06:15:18.355000,2019-11-20 06:18:37.333000,198.978,35,109,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4d9f1cf08aa4aa8e5ba58,5ac54531e1546900019c0487,AWAITING REVIEW,2019-11-20 06:15:15.215000,2019-11-20 06:17:14.845000,119.63,22,550,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Other,United States
5dd4d9fb3683dc48ea19a879,5db1fbf417a1390054114ee9,AWAITING REVIEW,2019-11-20 06:15:26.152000,2019-11-20 06:18:13.543000,167.391,42,45,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4d9fd41fb3f498245d00d,5b4823ebfa51a70001ff74f8,AWAITING REVIEW,2019-11-20 06:15:25.916000,2019-11-20 06:38:06.736000,1360.82,22,27,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Due to start a new job within the next month,United States
5dd4da1db043894961905e35,5dbc5b95e2fafc1f58570e23,AWAITING REVIEW,2019-11-20 06:15:59.051000,2019-11-20 06:16:51.421000,52.37,32,21,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da38c5faa24a3ef326e2,5767349075905c00018d6a98,AWAITING REVIEW,2019-11-20 06:16:27.279000,2019-11-20 06:22:59.455000,392.176,44,488,3,100,,4D8547F3,Yes,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4da3bfce60649be80b80a,559d2afefdf99b7e8b68211a,AWAITING REVIEW,2019-11-20 06:16:38.801000,2019-11-20 06:17:48.339000,69.538,35,135,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4da412274974add3a4c38,5c8d42e6c6eef0001abd2d94,AWAITING REVIEW,2019-11-20 06:16:37.240000,2019-11-20 06:19:32.027000,174.787,30,199,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4da429b66eb4b88968779,5aa5e1c61eda41000136d40c,AWAITING REVIEW,2019-11-20 06:16:37.566000,2019-11-20 06:18:19.639000,102.073,29,467,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da4890fc854abf4a214c,5c53c145409f6e0001130a32,AWAITING REVIEW,2019-11-20 06:16:42.724000,2019-11-20 06:19:46.983000,184.259,29,208,0,100,,4D8547F3,Yes,Male,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da5f2b033b4ad286febc,5bdbfad21195730001bde189,AWAITING REVIEW,2019-11-20 06:17:06.620000,2019-11-20 06:18:38.079000,91.459,34,48,0,100,,4D8547F3,No,Male,Italy,United States,Italian,Liberal,Unemployed (and job seeking),United States
5dd4da6a929d5d4acee7b507,5ba9a99738803d00012729de,AWAITING REVIEW,2019-11-20 06:17:14.200000,2019-11-20 06:23:14.600000,360.4,23,255,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Due to start a new job within the next month,United States
5dd4da6a9740544a71844bd4,5c5cb505ced0b900018ca3a3,AWAITING REVIEW,2019-11-20 06:17:21.768000,2019-11-20 06:23:44.975000,383.207,45,265,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4da6ced36494aad4b05d3,5d49d1922b64de00011b9e94,AWAITING REVIEW,2019-11-20 06:17:19.386000,2019-11-20 06:20:47.051000,207.665,40,35,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Part-Time,United States
5dd4da710605eb4a93b4035a,5d54851837efaa001bb2969c,AWAITING REVIEW,2019-11-20 06:17:28.765000,2019-11-20 06:22:58.962000,330.197,40,140,0,100,,4D8547F3,No,Male,United States,United States,Japanese,Liberal,Part-Time,United States
5dd4da835daaa64a9c28ba5e,58cefdb030c4cf0001ceb3ac,AWAITING REVIEW,2019-11-20 06:17:39.068000,2019-11-20 06:18:41.805000,62.737,64,743,2,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Part-Time,United States
