session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Sex,Student Status,Political Spectrum (US),Employment Status,Nationality,Current Country of Residence,First Language
5dd4d94c523df04a5dbcbca8,5d21a5e877af8600010583c9,AWAITING REVIEW,2019-11-20 06:12:32.379000,2019-11-20 06:14:38.551000,126.172,38,44,5,85,,4D8547F3,United States,Male,No,Conservative,,United States,United States,English
5dd4d98ca4aa264af6e70d90,5cdb3e9caa4e2a00019a16bc,AWAITING REVIEW,2019-11-20 06:13:46.878000,2019-11-20 06:16:23.565000,156.687,47,202,0,100,,4D8547F3,United States,Male,No,Conservative,Other,United States,United States,English
5dd4d990194e48497c10d191,5bcd9a528391630001494521,AWAITING REVIEW,2019-11-20 06:13:36.282000,2019-11-20 06:16:21.950000,165.668,38,373,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,Japan,English
5dd4d9b6367c6d4a3f3f9d7e,5d094021c79e5a001a796b43,AWAITING REVIEW,2019-11-20 06:14:14.702000,2019-11-20 06:19:26.810000,312.108,34,245,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4d9c18a3c5e4a9f18f9c3,5d89b537f7d109001a8f9c68,AWAITING REVIEW,2019-11-20 06:14:28.113000,2019-11-20 06:24:24.890000,596.777,46,68,0,100,,4D8547F3,United Kingdom,Female,No,Conservative,Part-Time,United Kingdom,United Kingdom,English
5dd4d9c811b0bd4ab99e9f62,55b9a9b0fdf99b6906d2aba4,AWAITING REVIEW,2019-11-20 06:14:35.250000,2019-11-20 06:22:23.980000,468.73,64,1604,1,100,,4D8547F3,United States,Male,No,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,United States,English
5dd4d9ebe0b21b4ae9468a0b,56ce6383465e58000d84710d,AWAITING REVIEW,2019-11-20 06:15:07.277000,2019-11-20 06:18:36.672000,209.395,29,111,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4d9ed523df04a5dbcbca9,5c5f95cf4fff5700017ecc6b,AWAITING REVIEW,2019-11-20 06:15:37.365000,2019-11-20 06:19:20.892000,223.527,23,94,0,100,,4D8547F3,United States,Female,No,Conservative,Unemployed (and job seeking),United States,United States,English
5dd4da00a9ead04a85afcd0d,5c5ac2869d974300015d81fc,AWAITING REVIEW,2019-11-20 06:15:28.023000,2019-11-20 06:24:17.707000,529.684,33,414,1,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4da1fca74664af2518383,5d4d038ec270cd001931da3e,AWAITING REVIEW,2019-11-20 06:16:02.932000,2019-11-20 06:18:18.733000,135.801,29,150,1,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4da3a41afe84a26811718,57dd1a741334540001170404,AWAITING REVIEW,2019-11-20 06:16:28.452000,2019-11-20 06:18:34.932000,126.48,42,471,1,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4da6a19eecb4abefff826,59af1b568d02850001a6bbac,AWAITING REVIEW,2019-11-20 06:17:18.881000,2019-11-20 06:18:09.152000,50.271,44,153,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4da96e08a364a80ee8211,574eab79c18847000e071119,AWAITING REVIEW,2019-11-20 06:18:02.502000,2019-11-20 06:36:52.502000,1130.0,38,689,0,100,,4D8547F3,United States,Female,No,Conservative,Part-Time,United States,United States,English
5dd4daa39740544a71844bd5,5c19a630257db80001a2b3a8,AWAITING REVIEW,2019-11-20 06:18:13.929000,2019-11-20 06:32:56.941000,883.012,64,462,2,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4dab5794e104a949a5f0f,5c36e0c5e38bc40001f82a4d,AWAITING REVIEW,2019-11-20 06:18:38.563000,2019-11-20 06:23:24.748000,286.185,37,453,1,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4dabf57534749f4ebca59,570b8aa8b9b52b00102d97f2,AWAITING REVIEW,2019-11-20 06:19:09.648000,2019-11-20 06:24:55.257000,345.609,67,888,0,100,,4D8547F3,United States,Female,No,Conservative,Full-Time,United States,United States,English
5dd4dacd2091e94ae11421c6,5d84398b58ceda0019482646,AWAITING REVIEW,2019-11-20 06:18:53.878000,2019-11-20 06:21:16.219000,142.341,36,119,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4daec1042004ad173909c,5d4686c336bf400015d3fd14,AWAITING REVIEW,2019-11-20 06:19:32.071000,2019-11-20 06:24:24.468000,292.397,29,180,1,100,,4D8547F3,United States,Female,No,Conservative,Part-Time,United States,United States,English
5dd4db08c925a84a514be842,5befb6e27c387400016983bf,AWAITING REVIEW,2019-11-20 06:19:52.575000,2019-11-20 06:24:15.322000,262.747,33,322,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4db314d58a04b8707e0d3,5b8b14d65548a50001e5f7f3,AWAITING REVIEW,2019-11-20 06:23:52.462000,2019-11-20 06:27:48.741000,236.279,35,408,0,100,,4D8547F3,United States,Male,No,Conservative,Full-Time,United States,United States,English
5dd4db649dac7c4a9f70ddfb,5cecb84b41b4310018eb2644,AWAITING REVIEW,2019-11-20 06:21:33.358000,2019-11-20 06:33:36.485000,723.127,19,198,0,100,,4D8547F3,United States,Male,No,Conservative,Unemployed (and job seeking),United States,United States,English
5dd4db68523df04a5dbcbcae,5d8c3c1e118a2300150b87e9,AWAITING REVIEW,2019-11-20 06:21:30.695000,2019-11-20 06:25:31.536000,240.841,18,46,0,100,,4D8547F3,United States,Male,Yes,Conservative,Unemployed (and job seeking),United States,United States,English
