session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Gender identity,Current Country of Residence,Student Status,Country of Birth,Employment Status,Political Spectrum (US),First Language,Nationality
5dd8780aca746683c2af78ab,5c0e195a1b80df0001788fe1,AWAITING REVIEW,2019-11-23 00:06:37.669000,2019-11-23 00:07:32.645000,54.976,35,83,1,99,,4D8547F3,Female,Female,United States,Yes,United States,Full-Time,Conservative,English,United States
5dd8785735582281ee637d4d,5d6413bc6512d700159fb0e1,AWAITING REVIEW,2019-11-23 00:07:53.891000,2019-11-23 00:10:08.661000,134.77,39,47,0,100,,4D8547F3,Female,Female,United States,No,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Conservative,English,United States
5dd8790dcf8e7e8297eca5e0,5b1f2b115e45c000012aa30c,AWAITING REVIEW,2019-11-23 00:11:01.651000,2019-11-23 00:21:41.700000,640.049,27,144,0,100,,4D8547F3,Female,Female,United States,No,Germany,Unemployed (and job seeking),Conservative,English,United States
5dd87961ad0a61821398b955,5c5f95cf4fff5700017ecc6b,AWAITING REVIEW,2019-11-23 00:12:24.256000,2019-11-23 00:13:14.462000,50.206,23,91,0,100,,4D8547F3,Female,Female,United States,No,United States,Unemployed (and job seeking),Conservative,English,United States
5dd8797301fadf82fa498ad0,5db38a2db879f3000ebcc422,AWAITING REVIEW,2019-11-23 00:12:46.262000,2019-11-23 00:14:39.974000,113.712,68,67,0,100,,4D8547F3,Female,Female,United States,No,United States,Part-Time,Conservative,English,United States
5dd879738f45b9821301be60,5c5a01abe5326a00018596b5,AWAITING REVIEW,2019-11-23 00:12:35.831000,2019-11-23 00:14:31.441000,115.61,24,407,2,100,,4D8547F3,Female,Female,United States,No,United States,Full-Time,Conservative,English,United States
5dd8797f238a918384bca5e5,5d4ecfd93273de0019663e6b,AWAITING REVIEW,2019-11-23 00:13:07.701000,2019-11-23 00:14:40.402000,92.701,23,205,0,100,,4D8547F3,Female,Female,United States,No,United States,Full-Time,Conservative,English,United States
5dd879deb9888783be498077,5d1ea7e579b687001af802c6,AWAITING REVIEW,2019-11-23 00:14:55.701000,2019-11-23 00:15:58.668000,62.967,51,199,1,100,,4D8547F3,Female,Female,United States,No,United States,Full-Time,Conservative,English,United States
5dd879e8b04389826754b3c0,5d8c46cc53b833001a4bf916,AWAITING REVIEW,2019-11-23 00:14:32.295000,2019-11-23 00:16:01.966000,89.671,19,98,0,100,,4D8547F3,Female,Female,United States,Yes,United States,Other,Conservative,English,United States
5dd879fd1228d9829a566dc7,5dc1e2c9880a29158c594ba2,AWAITING REVIEW,2019-11-23 00:14:55.146000,2019-11-23 00:15:34.423000,39.277,30,51,0,100,,4D8547F3,Female,Female,United States,No,United States,Full-Time,Conservative,English,United States
